REPOSITORY                         TAG           IMAGE ID        CREATED               PLATFORM       SIZE          BLOB SIZE
192.168.0.5:5000/alpine            estargz       617da932b2c1    15 minutes ago        linux/amd64    6.0 MiB       2.7 MiB
192.168.0.5:5000/alpine            latest        e7d88de73db3    33 minutes ago        linux/amd64    5.9 MiB       2.7 MiB
192.168.0.5:5000/alpine            latest_obd    9c68df5cd2fc    15 minutes ago        linux/amd64    4.4 MiB       4.4 MiB
192.168.0.5:5000/alpine            nydusv6       038152a97fae    15 minutes ago        linux/amd64    0.0 B         2.8 MiB
192.168.0.5:5000/busybox           estargz       a21442999569    15 minutes ago        linux/amd64    1.3 MiB       757.9 KiB
192.168.0.5:5000/busybox           latest        62ffc2ed7554    33 minutes ago        linux/amd64    1.3 MiB       756.6 KiB
192.168.0.5:5000/busybox           latest_obd    2758f64647bb    15 minutes ago        linux/amd64    1.6 MiB       1.6 MiB
192.168.0.5:5000/busybox           nydusv6       3e59b32a7c5b    15 minutes ago        linux/amd64    0.0 B         782.4 KiB
192.168.0.5:5000/centos            estargz       bd758c42830b    13 minutes ago        linux/amd64    247.5 MiB     87.4 MiB
192.168.0.5:5000/centos            latest        a1801b843b1b    32 minutes ago        linux/amd64    244.4 MiB     79.7 MiB
192.168.0.5:5000/centos            latest_obd    a637acb39cbb    13 minutes ago        linux/amd64    135.0 MiB     135.0 MiB
192.168.0.5:5000/centos            nydusv6       90d49694e5af    13 minutes ago        linux/amd64    0.0 B         83.9 MiB
192.168.0.5:5000/cirros            estargz       64946b34f622    14 minutes ago        linux/amd64    13.0 MiB      5.8 MiB
192.168.0.5:5000/cirros            latest        483f15ac97d0    33 minutes ago        linux/amd64    12.9 MiB      5.7 MiB
192.168.0.5:5000/cirros            latest_obd    d01797f594fb    14 minutes ago        linux/amd64    10.0 MiB      10.0 MiB
192.168.0.5:5000/cirros            nydusv6       cf8df6f0fb92    14 minutes ago        linux/amd64    0.0 B         5.9 MiB
192.168.0.5:5000/crux              estargz       bdd39eee9d9d    14 minutes ago        linux/amd64    473.4 MiB     160.3 MiB
192.168.0.5:5000/crux              latest        b15570468c2d    33 minutes ago        linux/amd64    467.9 MiB     152.2 MiB
192.168.0.5:5000/crux              latest_obd    695f7a510e2d    14 minutes ago        linux/amd64    248.5 MiB     248.5 MiB
192.168.0.5:5000/crux              nydusv6       17ab05123833    14 minutes ago        linux/amd64    0.0 B         158.5 MiB
192.168.0.5:5000/debian            estargz       d29ed7026d2e    14 minutes ago        linux/amd64    136.6 MiB     55.0 MiB
192.168.0.5:5000/debian            latest        a4c378901a2b    32 minutes ago        linux/amd64    134.4 MiB     52.4 MiB
192.168.0.5:5000/debian            latest_obd    6e9c09366ffb    14 minutes ago        linux/amd64    78.6 MiB      78.6 MiB
192.168.0.5:5000/debian            nydusv6       ea63727eeb00    14 minutes ago        linux/amd64    0.0 B         52.7 MiB
192.168.0.5:5000/django            estargz       6c41e63271ea    2 minutes ago         linux/amd64    478.7 MiB     161.7 MiB
192.168.0.5:5000/django            latest        14a622eb5d95    18 minutes ago        linux/amd64    471.6 MiB     153.3 MiB
192.168.0.5:5000/django            latest_obd    ae9b2c9d4298    About a minute ago    linux/amd64    253.8 MiB     253.7 MiB
192.168.0.5:5000/django            nydusv6       e9beb7dd93f6    2 minutes ago         linux/amd64    0.0 B         158.5 MiB
192.168.0.5:5000/drupal            estargz       5e28eb85e28c    6 minutes ago         linux/amd64    676.2 MiB     203.8 MiB
192.168.0.5:5000/drupal            latest        68312f468512    23 minutes ago        linux/amd64    664.4 MiB     189.9 MiB
192.168.0.5:5000/drupal            latest_obd    f2239aa9dc08    5 minutes ago         linux/amd64    332.8 MiB     332.8 MiB
192.168.0.5:5000/drupal            nydusv6       f8956c98d085    6 minutes ago         linux/amd64    0.0 B         201.8 MiB
192.168.0.5:5000/fedora            estargz       fb00be48278a    13 minutes ago        linux/amd64    166.3 MiB     57.6 MiB
192.168.0.5:5000/fedora            latest        762d7c576683    31 minutes ago        linux/amd64    163.9 MiB     52.1 MiB
192.168.0.5:5000/fedora            latest_obd    5062bc9d3017    12 minutes ago        linux/amd64    86.9 MiB      86.9 MiB
192.168.0.5:5000/fedora            nydusv6       fe06c56bfd83    12 minutes ago        linux/amd64    0.0 B         54.8 MiB
